00001 A00     0 Cholera                                                      Cholera
79292 T478X2D 1 Poisoning by oth agents aff GI sys, self-harm, subs          Poisoning by other agents primarily affecting gastrointestinal system, intentional self-harm, subsequent encounter
79293 T478X2S 1 Poisoning by oth agents aff GI sys, self-harm, sequela       Poisoning by other agents primarily affecting gastrointestinal system, intentional self-harm, sequela
79294 T478X3  0 Poisoning by oth agents primarily affecting GI sys, assault  Poisoning by other agents primarily affecting gastrointestinal system, assault
79295 T478X3A 1 Poisoning by oth agents aff GI sys, assault, init            Poisoning by other agents primarily affecting gastrointestinal system, assault, initial encounter
79296 T478X3D 1 Poisoning by oth agents aff GI sys, assault, subs            Poisoning by other agents primarily affecting gastrointestinal system, assault, subsequent encounter
79297 T478X3S 1 Poisoning by oth agents aff GI sys, assault, sequela         Poisoning by other agents primarily affecting gastrointestinal system, assault, sequela
79298 T478X4  0 Poisoning by oth agents aff GI sys, undetermined             Poisoning by other agents primarily affecting gastrointestinal system, undetermined
79299 T478X4A 1 Poisoning by oth agents aff GI sys, undetermined, init       Poisoning by other agents primarily affecting gastrointestinal system, undetermined, initial encounter
79300 T478X4D 1 Poisoning by oth agents aff GI sys, undetermined, subs       Poisoning by other agents primarily affecting gastrointestinal system, undetermined, subsequent encounter
79301 T478X4S 1 Poisoning by oth agents aff GI sys, undetermined, sequela    Poisoning by other agents primarily affecting gastrointestinal system, undetermined, sequela
79302 T478X5  0 Adverse effect of agents primarily affecting GI sys          Adverse effect of other agents primarily affecting gastrointestinal system
79303 T478X5A 1 Adverse effect of agents primarily affecting GI sys, init    Adverse effect of other agents primarily affecting gastrointestinal system, initial encounter
79304 T478X5D 1 Adverse effect of agents primarily affecting GI sys, subs    Adverse effect of other agents primarily affecting gastrointestinal system, subsequent encounter
79305 T478X5S 1 Adverse effect of agents primarily affecting GI sys, sequela Adverse effect of other agents primarily affecting gastrointestinal system, sequela
79306 T478X6  0 Underdosing of agents primarily affecting GI sys             Underdosing of other agents primarily affecting gastrointestinal system
79307 T478X6A 1 Underdosing of agents primarily affecting GI sys, init       Underdosing of other agents primarily affecting gastrointestinal system, initial encounter
79308 T478X6D 1 Underdosing of agents primarily affecting GI sys, subs       Underdosing of other agents primarily affecting gastrointestinal system, subsequent encounter
79309 T478X6S 1 Underdosing of agents primarily affecting GI sys, sequela    Underdosing of other agents primarily affecting gastrointestinal system, sequela
79310 T479    0 Unsp agents primarily affecting the gastrointestinal system  Poisoning by, adverse effect of and underdosing of unspecified agents primarily affecting the gastrointestinal system
79311 T4791   0 Poisoning by unsp agents aff the GI sys, accidental          Poisoning by unspecified agents primarily affecting the gastrointestinal system, accidental (unintentional)
79312 T4791XA 1 Poisoning by unsp agents aff the GI sys, accidental, init    Poisoning by unspecified agents primarily affecting the gastrointestinal system, accidental (unintentional), initial encounter
79313 T4791XD 1 Poisoning by unsp agents aff the GI sys, accidental, subs    Poisoning by unspecified agents primarily affecting the gastrointestinal system, accidental (unintentional), subsequent encounter
79314 T4791XS 1 Poisoning by unsp agents aff the GI sys, acc, sequela        Poisoning by unspecified agents primarily affecting the gastrointestinal system, accidental (unintentional), sequela
79315 T4792   0 Poisoning by unsp agents aff the GI sys, self-harm           Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm
79316 T4792XA 1 Poisoning by unsp agents aff the GI sys, self-harm, init     Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, initial encounter
79317 T4792XD 1 Poisoning by unsp agents aff the GI sys, self-harm, subs     Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, subsequent encounter
79318 T4792XS 1 Poisoning by unsp agents aff the GI sys, self-harm, sequela  Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, sequela
79319 T4793   0 Poisoning by unsp agents aff the GI sys, assault             Poisoning by unspecified agents primarily affecting the gastrointestinal system, assault
79320 T4793XA 1 Poisoning by unsp agents aff the GI sys, assault, init       Poisoning by unspecified agents primarily affecting the gastrointestinal system, assault, initial encounter
79321 T4793XD 1 Poisoning by unsp agents aff the GI sys, assault, subs       Poisoning by unspecified agents primarily affecting the gastrointestinal system, assault, subsequent encounter
79322 T4793XS 1 Poisoning by unsp agents aff the GI sys, assault, sequela    Poisoning by unspecified agents primarily affecting the gastrointestinal system, assault, sequela
79323 T4794   0 Poisoning by unsp agents aff the GI sys, undetermined        Poisoning by unspecified agents primarily affecting the gastrointestinal system, undetermined
79324 T4794XA 1 Poisoning by unsp agents aff the GI sys, undetermined, init  Poisoning by unspecified agents primarily affecting the gastrointestinal system, undetermined, initial encounter
79325 T4794XD 1 Poisoning by unsp agents aff the GI sys, undetermined, subs  Poisoning by unspecified agents primarily affecting the gastrointestinal system, undetermined, subsequent encounter
79326 T4794XS 1 Poisoning by unsp agents aff the GI sys, undet, sequela      Poisoning by unspecified agents primarily affecting the gastrointestinal system, undetermined, sequela
79327 T4795   0 Adverse effect of unsp agents primarily affecting the GI sys Adverse effect of unspecified agents primarily affecting the gastrointestinal system
79328 T4795XA 1 Adverse effect of unsp agents aff the GI sys, init           Adverse effect of unspecified agents primarily affecting the gastrointestinal system, initial encounter
79329 T4795XD 1 Adverse effect of unsp agents aff the GI sys, subs           Adverse effect of unspecified agents primarily affecting the gastrointestinal system, subsequent encounter
79330 T4795XS 1 Adverse effect of unsp agents aff the GI sys, sequela        Adverse effect of unspecified agents primarily affecting the gastrointestinal system, sequela
79331 T4796   0 Underdosing of unsp agents primarily affecting the GI sys    Underdosing of unspecified agents primarily affecting the gastrointestinal system
79332 T4796XA 1 Underdosing of unsp agents aff the GI sys, init              Underdosing of unspecified agents primarily affecting the gastrointestinal system, initial encounter
79333 T4796XD 1 Underdosing of unsp agents aff the GI sys, subs              Underdosing of unspecified agents primarily affecting the gastrointestinal system, subsequent encounter
79334 T4796XS 1 Underdosing of unsp agents aff the GI sys, sequela           Underdosing of unspecified agents primarily affecting the gastrointestinal system, sequela
79335 T48     0 Agents prim act on smooth and skeletal musc and the resp sys Poisoning by, adverse effect of and underdosing of agents primarily acting on smooth and skeletal muscles and the respiratory system
79336 T480    0 Oxytocic drugs                                               Poisoning by, adverse effect of and underdosing of oxytocic drugs
79337 T480X   0 Oxytocic drugs                                               Poisoning by, adverse effect of and underdosing of oxytocic drugs
79338 T480X1  0 Poisoning by oxytocic drugs, accidental (unintentional)      Poisoning by oxytocic drugs, accidental (unintentional)
79339 T480X1A 1 Poisoning by oxytocic drugs, accidental, init                Poisoning by oxytocic drugs, accidental (unintentional), initial encounter
79340 T480X1D 1 Poisoning by oxytocic drugs, accidental, subs                Poisoning by oxytocic drugs, accidental (unintentional), subsequent encounter
79341 T480X1S 1 Poisoning by oxytocic drugs, accidental, sequela             Poisoning by oxytocic drugs, accidental (unintentional), sequela
79342 T480X2  0 Poisoning by oxytocic drugs, intentional self-harm           Poisoning by oxytocic drugs, intentional self-harm
79343 T480X2A 1 Poisoning by oxytocic drugs, intentional self-harm, init     Poisoning by oxytocic drugs, intentional self-harm, initial encounter
79344 T480X2D 1 Poisoning by oxytocic drugs, intentional self-harm, subs     Poisoning by oxytocic drugs, intentional self-harm, subsequent encounter
79345 T480X2S 1 Poisoning by oxytocic drugs, intentional self-harm, sequela  Poisoning by oxytocic drugs, intentional self-harm, sequela
79346 T480X3  0 Poisoning by oxytocic drugs, assault                         Poisoning by oxytocic drugs, assault
79347 T480X3A 1 Poisoning by oxytocic drugs, assault, initial encounter      Poisoning by oxytocic drugs, assault, initial encounter
79348 T480X3D 1 Poisoning by oxytocic drugs, assault, subsequent encounter   Poisoning by oxytocic drugs, assault, subsequent encounter
79349 T480X3S 1 Poisoning by oxytocic drugs, assault, sequela                Poisoning by oxytocic drugs, assault, sequela
79350 T480X4  0 Poisoning by oxytocic drugs, undetermined                    Poisoning by oxytocic drugs, undetermined
79351 T480X4A 1 Poisoning by oxytocic drugs, undetermined, initial encounter Poisoning by oxytocic drugs, undetermined, initial encounter
79352 T480X4D 1 Poisoning by oxytocic drugs, undetermined, subs encntr       Poisoning by oxytocic drugs, undetermined, subsequent encounter
79353 T480X4S 1 Poisoning by oxytocic drugs, undetermined, sequela           Poisoning by oxytocic drugs, undetermined, sequela
79354 T480X5  0 Adverse effect of oxytocic drugs                             Adverse effect of oxytocic drugs
79355 T480X5A 1 Adverse effect of oxytocic drugs, initial encounter          Adverse effect of oxytocic drugs, initial encounter
79356 T480X5D 1 Adverse effect of oxytocic drugs, subsequent encounter       Adverse effect of oxytocic drugs, subsequent encounter
79357 T480X5S 1 Adverse effect of oxytocic drugs, sequela                    Adverse effect of oxytocic drugs, sequela
79358 T480X6  0 Underdosing of oxytocic drugs                                Underdosing of oxytocic drugs
